mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
209,meat 100+_female_30-39,15.09218237,54.07499461,17312.66858,35.062004,3.500413167,0.748457436,733.1929326,679.5673654,34.55793538,6.918005827,35.79310994,4450.985438,12.41111484,1.800291137,0.237955421,385.2985207,179.2928442,9.068807007,778,female,meat100,30-39
209,meat 100+_female_40-49,17.17520974,64.99788359,16913.62289,36.70352209,4.048351485,0.768404442,847.9343545,656.0550648,35.41045678,7.587678829,39.44584138,4398.189163,13.24552412,1.957980761,0.248262737,420.0894597,173.7691646,9.231768033,1935,female,meat100,40-49
209,meat 100+_female_50-59,17.8389184,68.40292435,17223.28479,37.70337265,4.221112642,0.772000603,880.2632932,658.2767742,36.75631145,7.388516902,38.49017119,4442.511234,12.42440816,1.912677003,0.24270701,413.7325309,169.6503632,9.25819655,1753,female,meat100,50-59
209,meat 100+_female_60-69,17.75936837,67.79910353,17690.59644,38.09118913,4.191028065,0.763894822,873.2326378,664.4006341,37.02981901,8.814601575,46.00689711,5111.22574,14.50084693,2.257816482,0.251766381,495.4617408,181.3792707,9.407116519,843,female,meat100,60-69
209,meat 100+_female_70-79,18.4954167,71.32505272,17961.61442,38.9829391,4.448928065,0.795462905,912.9818574,674.4590183,38.33774224,10.3115194,53.01796006,4859.520231,14.59052312,2.689479501,0.23452632,552.9793066,176.5942244,10.67097423,274,female,meat100,70-79
209,meat 100+_male_20-29,17.22361704,59.99250968,19542.25268,42.74173032,4.090027348,0.914335039,817.4770834,800.2756887,40.63321447,8.051612836,40.16697028,5883.187093,17.96847507,2.046470449,0.315529379,432.0206133,249.7452625,12.47555335,132,male,meat100,20-29
209,meat 100+_male_30-39,16.09804133,56.70234439,17774.97002,38.22007588,3.739500754,0.807761429,766.7587955,728.4556286,36.73273422,7.854281969,39.90622585,4789.174034,13.55213874,2.043615422,0.250099818,420.1825851,219.644477,10.05851172,260,male,meat100,30-39
209,meat 100+_male_40-49,17.07415925,62.93514841,16650.3948,39.28521367,4.037883731,0.786422976,820.1337875,672.1135249,37.26212829,7.123499221,36.41682155,4122.26544,14.49150099,1.824328582,0.23147269,387.0008762,171.183489,9.504407709,616,male,meat100,40-49
209,meat 100+_male_50-59,17.56592166,65.5083559,17405.50375,39.81942377,4.168564661,0.806567131,842.2586236,681.5839026,38.06110097,7.655069072,39.19331392,4787.808693,14.56734326,1.958262594,0.274674165,412.3993607,183.8028001,10.27607635,591,male,meat100,50-59
209,meat 100+_male_60-69,17.12766025,63.53353387,17598.51964,40.11217453,4.092690619,0.795463845,834.2147097,686.0482647,38.66333403,7.547962504,39.14740749,5179.576586,13.9955434,1.911376996,0.253948461,405.2681531,208.3309686,9.303602416,543,male,meat100,60-69
209,meat 100+_male_70-79,18.95408661,72.41935385,18042.0011,41.95592021,4.527972903,0.804399571,939.3271027,702.1020106,39.47868899,10.56007404,55.3308438,4912.570913,14.71563121,2.701735803,0.246571279,587.2129343,190.0739093,9.687587012,168,male,meat100,70-79
209,meat50-99_female_20-29,8.389393809,22.26153435,14439.39344,24.9159217,1.764903375,0.573256785,389.8847287,575.0452794,26.80387358,3.142855362,15.00278208,4283.968204,7.115861665,0.846318267,0.229155732,203.7292033,163.5215317,7.542356307,669,female,meat,20-29
209,meat50-99_female_30-39,8.684617419,23.96220754,14310.98353,24.88604724,1.863937951,0.563749579,402.5993675,561.3206299,27.21919505,3.437562012,17.13739164,3933.83661,6.850311864,0.917801883,0.211934459,214.4646968,154.5070574,7.082382631,1350,female,meat,30-39
209,meat50-99_female_40-49,9.465483507,27.97961337,14332.00943,25.587992,2.061264298,0.569189958,440.5793625,553.4919219,28.12951179,3.803383765,19.30825218,3973.206587,7.129637184,0.994732179,0.196154648,225.8983342,151.456915,7.348430004,2710,female,meat,40-49
